question_id,sentence,complete_sentence
Q0,COM S'IMMIGRAREN AMERICANS D'ÀFRICA ALS ESTATS UNITS,0
Q3,com de grans eren les primeres presons,0
Q4,com funciona una bomba d'aigua,0
Q20,quants anys tenia sue lyon quan va fer la lolita,0
Q33,com s'utilitzen els anticossos en,0
Q47,quants anys té alicia el 2009,0
Q57,com es fan els maons de foc,0
Q59,QUANTS CENTAVOS HI HA A MÈXIC,0
Q64,Quant de temps va estar Mickie James amb la WWE?,0
Q68,com pot agradar alguna cosa bé a una persona,0
Q69,Com va morir Bob Marley?,0
Q72,quant va ser la producció de willy wonka i la fàbrica de xocolata,0
Q79,quant és un full de paper,0
Q81,com puc obrir un escorxador usda,0
Q86,com de prop o lluny vols estar de la desviació estàndard,0
Q88,com de mortals són els tumors cerebrals,0
Q91,quina alçada és una xarxa de voleibol de nenes d'interior,0
Q105,quins bacteris creixen a l'agar macconkey,0
Q115,què li va passar a sean parker fundador de napster,0
Q123,quins ingredients hi ha a la recuperació de rockstar?,0
Q131,que tan difícil és soldar una canonada de 2 polzades 80,0
Q132,com es distingeix la tos ferina de malalties similars,0
Q144,Com es juguen les espases,0
Q146,què causa les malalties del cor,0
Q149,com es protegeix la seu de la cia,0
Q153,Com es va preparar Galahad per convertir-se en cavaller?,0
Q157,a quanta distància es troba una lliga,0
Q165,què pot fer sql 2005,0
Q186,què menja un cérvol?,0
Q194,Quina banda estarà a la xarxa 4g d'at&t?,0
Q196,quant de temps poden funcionar els pisos abans de canviar,0
Q198,quantes hectàrees és cooperstown dream park,0
Q205,com ha canviat el somni americà al llarg dels anys,0
Q216,què fan els presidents després de deixar la casa blanca,0
Q222,com d'alt és el president rus Dmitry Medvedev,0
Q224,Com afecta la malaltia renal crònica de l'etapa 4 als diabètics,0
Q232,quins experiments s'estan fent a l'ISS,0
Q242,com funciona un restaurant dim sum,0
Q243,de quin color és l'avellana,0
Q269,amb què acaba l'orgull i el prejudici?,0
Q271,quants dígits de llarg és la visa,0
Q279,quin tipus de xecs (pagament) són acceptables a les escoles?,0
Q285,quantes vegades va jugar Serena Williams a l'Open de França,0
Q297,què causa les formes a la calçada del gegant,0
Q309,què va fer tycho brahe,0
Q322,quant de temps va trigar a fer el projecte de la bruixa de Blair,0
Q323,com van morir Romeu i Julieta,0
Q324,el que significa s.h.i.e.l.d,0
Q329,quin tipus de peus tenen les garses?,0
Q331,quin dia és el dia de sant patricks,0
Q333,com és la casa dels representants a prop de la gent?,0
Q340,quants llibres s'inclouen a la Bíblia protestant?,0
Q344,"Què pot causar un ""canvi a l'esquerra""",0
Q355,com funciona una bomba de calor,0
Q362,quantes temporades hi va haver del fil,0
Q383,quantes gepes en un camell,0
Q384,el que pot ser alimentat per vent,0
Q386,Què tan ric és Donald Trump,0
Q388,en quin comtat es troba jacksonville florida,0
Q391,com és una planta d'oxigen líquid,0
Q394,Quants han aconseguit escalar l'Everest?,0
Q397,com arribo de charleston wv a handley wv,0
Q404,com celebra new orleans el dia de sant patrick,0
Q410,quantes persones van morir a la batalla de gallipoli,0
Q411,a quina edat els peixos del Vietnam comencen a lluitar,0
Q414,En què consisteix l'esperma humà?,1
Q434,quants episodis és la 2a temporada de vampire diaries,0
Q436,Quants immigrants legals estan permesos als Estats Units,0
Q448,què fa l'àlcali als líquids?,0
Q451,Què va matar Frank Sinatra?,0
Q455,com s'aconsegueix una estrella michelin?,0
Q462,què significa la glòria en excelsis deo,0
Q498,què significa l'infinit a l'electricitat,0
Q523,què fa l'alfals pels animals,0
Q540,què li va passar a Solara al llibre d'Eli?,0
Q554,quin benefici té la pinna?,0
Q565,què va fer margot frank per diversió,0
Q568,quant del nostre univers forma el plasma,0
Q583,quants dies hi ha en un any de traspàs,0
Q595,Quina influència va tenir el Model T d'Henry Ford en la fabricació?,0
Q597,quin comtat és bethlehem pa a,0
Q599,quanta població és una ciutat urbana dels Estats Units,0
Q607,com es va completar el fresc del torero,0
Q615,quants números en una targeta de crèdit,0
Q658,quants grans taurons blancs van quedar a l'oceà,0
Q676,com va morir John F. Kennedy?,0
Q677,quants membres hi ha a la casa dels representants,0
Q680,quants wiccanos en nosaltres,0
Q682,què representa l'oncle Sam per al poble nord-americà,0
Q685,com funcionen les xeringues d'insulina,0
Q692,com va morir david carradine,0
Q698,què causa una obstrucció de l'intestí prim,1
Q706,com defensen els esquirols terrestres el seu jo,0
Q710,quant va fer k.richards de la seva autobiografia vida?,0
Q711,com es tria l'altaveu de la casa,0
Q715,com es va involucrar el president a la guerra del golf,0
Q724,com funciona un triplexer?,0
Q735,què feien els diputats a l'antic oest?,0
Q740,quants megapíxels al asus eee?,0
Q744,com de ràpid són els dolls polars,0
Q750,quantes esmenes a nosaltres,0
Q757,quants jugadors en un costat per a un partit de futbol,0
Q762,quants empleats té Chase,0
Q763,quant de temps prendre iwo jima,0
Q771,el que crea un núvol,0
Q780,com lucie s'assembla a la dona ideal de dickens,0
Q800,quants mvps ha guanyat kobe bryant,0
Q817,quant s'enfonsa el terra sota una càrrega o s'eleva després d'eliminar una càrrega durant els ajustaments isostàtics,0
Q820,quants membres en un equip debaten?,0
Q821,quantes costelles té adam,0
Q844,el que va dir Harry Truman després que els republicans es fessin amb la casa.,0
Q857,què pot fer un conillet d'índies per a un ésser humà,0
Q864,com l'antic sistema egipci de momificació va crear ordre i equilibri a la seva cultura,0
Q870,quant va costar l'estadi ianqui,0
Q871,què significa disaronno,0
Q882,Quin cotxe es va utilitzar a Ferris Bueller's day off,0
Q897,"què va concloure ruben fotosíntesi ""Rubén""",0
Q904,com ha estat modelada la societat i la cultura del carib per les experiències colonials?,0
Q906,quina causa l'enorme demanda de cotó després de la revolució americana,0
Q907,quants països hi ha a Amèrica del Nord,0
Q909,com es va guanyar l'oest pel·lícula,0
Q911,com es formen les canonades de kimberlita,0
Q917,com s'ajusta físicament la gent a la vellesa,0
Q933,quin tipus de sang és el donant universal,0
Q952,quantes milles quadrades a la gran bretanya,0
Q956,quant de calci hi ha a l'aigua salada,0
Q964,com és sevilla,0
Q967,en quin comtat es troba coatesville indiana,0
Q971,de quin teixit embrionari sorgeix el teixit connectiu?,0
Q980,quins esdeveniments hi ha al mes d'abril,0
Q984,quants xinesos van lluitar a la guerra de Corea,0
Q990,què significa la millora contínua,0
Q992,Quin edifici de Nova York va fer Frank Lloyd Wright Design,0
Q1021,qui va fer que cy young jugués per,0
Q1027,QUÈ ÉS UN TRIMESTRE,0
Q1032,qui va escriure una rosa és una rosa és una rosa,0
Q1064,que va interpretar els papers principals a la pel·lícula sortint de las vegas,0
Q1070,on es van originar els estereotips?,0
Q1074,quins tipus de límits de placa existeixen,0
Q1077,quin país sud-americà és una colònia,0
Q1089,quin tipus de gel forma els casquets polars de Mart,0
Q1093,quan harley llança nous models d'any,0
Q1100,on viu una puça,0
Q1102,què és un grup de cérvols anomenat,0
Q1103,quin estat era john mccain un senador a les eleccions del 2008,0
Q1115,quins són alguns futurs espectacles de disney; de què es tracta el 2011,0
Q1126,Quines són algunes espècies relacionades amb la vespa de fang,0
Q1132,Qui va crear l'escut d'armes de les Bahames,0
Q1135,que va interpretar el pare de tracy en esprai per als cabells,0
Q1146,qui és propietari de disney,0
Q1148,quina part del biodièsel prové de gira-sols,0
Q1151,Quins són els reptes que afronten les empreses estrangeres al país majoritàriament musulmà?,1
