question_id,sentence,complete_sentence
Q0,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,0
Q3,how large were early jails,1
Q4,how a water pump works,1
Q20,how old was sue lyon when she made lolita,1
Q33,how are antibodies used in,0
Q47,how old is alicia in 2009,1
Q57,how are fire bricks made,1
Q59,HOW MUCH IS CENTAVOS IN MEXICO,0
Q64,How long was Mickie James with WWE?,1
Q68,how can something taste good to one person,1
Q69,How did Bob Marley die?,1
Q72,how much was the production of willy wonka and the chocolate factory,0
Q79,how much is a ream of paper,1
Q81,how can i open a usda slaughterhouse,0
Q86,how close or far do you want to be to the standard deviation,0
Q88,how deadly are brain tumors,1
Q91,how tall is an indoor girls volleyball net,1
Q105,what bacteria grow on macconkey agar,1
Q115,what happened to sean parker founder of napster,1
Q123,what ingredients are in rockstar recovery?,1
Q131,how hard is it to weld a 2 inch schedule 80 pipe,1
Q132,how is whooping cough distinguished from similar diseases,1
Q144,How Do You Play Spades,0
Q146,what causes heart disease,1
Q149,how is cia headquarters protected,1
Q153,How did Galahad prepare himself to become a knight?,1
Q157,how far is a league,1
Q165,what can sql 2005 do,0
Q186,what does a fawn eat?,1
Q194,What band will at&t 4g network be on?,0
Q196,how long can run flats run before changing,0
Q198,how many acres is cooperstown dream park,1
Q205,how has the american dream changed over the years,1
Q216,what do presidents make after they leave the white house,1
Q222,how tall Russian President Dmitry Medvedev,0
Q224,How does Chronic Kidney Disease stage 4 effect Diabetics,1
Q232,what experiments are being performed on the iss,1
Q242,how does a dim sum restaurant work,1
Q243,what color is hazel,1
Q269,what does pride and prejudice end with?,0
Q271,how many digits long is visa,0
Q279,what kind of checks (payment) are acceptable at schools?,1
Q285,how many times did Serena Williams play the French Open,1
Q297,what causes the shapes in giant's causeway,1
Q309,what did tycho brahe do,1
Q322,how long did it take to make the blair witch project,1
Q323,how did romeo and juliet die,1
Q324,what does s.h.i.e.l.d stand for,0
Q329,what kind of feet do herons have?,1
Q331,what day is st. patricks day,1
Q333,how is the house of representatives close to the people?,1
Q340,how many books are included in the protestant Bible?,1
Q344,"What can cause a ""shift to the left""",0
Q355,how does a heat pump work,1
Q362,how many seasons were there of the wire,1
Q383,how many humps on a camel,1
Q384,what can be powered by wind,1
Q386,How Rich Is Donald Trump,1
Q388,what county is jacksonville florida in,1
Q391,what does a liquid oxygen plant look like,1
Q394,How many have accomplished climbing mt Everest?,0
Q397,how do i get from charleston wv to handley wv,1
Q404,how does new orleans celebrate st. patrick's day,1
Q410,how many people died in the gallipoli battle,1
Q411,what age do vietnam fish start to fight,0
Q414,What does Human sperm consist of?,1
Q434,how many episodes is the 2nd season of vampire diaries,1
Q436,How many legal immigrants are allowed into the US,1
Q448,what does alkali do to liquids?,1
Q451,What killed Frank Sinatra?,0
Q455,how do you get a michelin star?,1
Q462,what does gloria in excelsis deo mean,1
Q498,what does infinity mean in electricity,0
Q523,what does alfalfa do for animals,1
Q540,what happened to  Solara in the book of eli?,1
Q554,what benefit does the pinna have?,0
Q565,what did margot frank do for fun,1
Q568,how much of our universe does plasma make up,1
Q583,how many days are in a leap year,1
Q595,What influence did Henry Ford's Model T have on manufacturing?,1
Q597,what county is bethlehem pa in,1
Q599,how much population is a us urban city,0
Q607,how was the toreador fresco completed,0
Q615,how many numbers on a credit card,1
Q658,how many great white sharks left in the ocean,1
Q676,how did John F. Kennedy die?,1
Q677,how many members are in the house of representatives,1
Q680,how many wiccans in us,0
Q682,what does uncle sam represent to the american people,1
Q685,how do insulin syringes work,1
Q692,how did david carradine die,1
Q698,what causes a small bowel obstruction,1
Q706,how do ground squirrels defend it's self,0
Q710,how much did k.richards make from his autobiography life ?,0
Q711,how speaker of the house is chosen,1
Q715,how was the president involved in the gulf war,1
Q724,how does a triplexer work?,1
Q735,what did deputies in the old western times do?,0
Q740,how many megapixels in the asus eee?,0
Q744,how fast does the polar jets,0
Q750,how many amendments in us,0
Q757,how many players on a side for a football game,1
Q762,how many employees does Chase have,1
Q763,how long to take iwo jima,0
Q771,what creates a cloud,1
Q780,how lucie resembles dickens ideal woman,0
Q800,how many mvps has kobe bryant won,1
Q817,how much does the ground sink under a load or rise after removal of a load during isostatic adjustments,1
Q820,how many members in a team debate?,0
Q821,how many ribs does adam have,0
Q844,what did Harry truman say after the republicans took the house.,1
Q857,what can a guinea pig do for a human,1
Q864,how did the ancient egypt system of mummification create order and balance in their culture,1
Q870,how much did yankee stadium cost,1
Q871,what does disaronno mean,1
Q882,What car was used in Ferris Bueller's day off,1
Q897,"what did ruben conclude photosynthesis ""Ruben""",0
Q904,how has caribbean society and culture been shaped by colonial experiences?,1
Q906,what cause the huge demand for cotton after the american revolution,1
Q907,how many countries are in north America,1
Q909,how the west was won movie,0
Q911,how kimberlite pipes form,1
Q917,how do people physically adjust to old age,1
Q933,what blood type is universal donor,1
Q952,how many square miles in great britain,1
Q956,how much calcium is in salt water,0
Q964,how is seville,0
Q967,what county is coatesville indiana located in,1
Q971,what embryonic tissue does connective tissue arise from?,1
Q980,what events are in the month april,1
Q984,how many chinese fought in korean war,1
Q990,what does continuous improvement mean,1
Q992,What building in NYC did Frank LLoyd Wright Design,0
Q1021,who did cy young play for,1
Q1027,WHAT IS A FY QUARTER,1
Q1032,who wrote a rose is a rose is a rose,1
Q1064,who played the lead roles in the movie leaving las vegas,1
Q1070,where did stereotypes originate?,1
Q1074,what types of plate boundaries exist,1
Q1077,what south american country is a colony,0
Q1089,what type of ice forms mars polar caps,1
Q1093,when does harley release new year models,1
Q1100,where does a flea live,1
Q1102,what is a group of deer called,1
Q1103,what state was john mccain a senator in during the 2008 election,1
Q1115,what are some future disney shows; what are they about 2011,0
Q1126,What are some species related to the mud wasp,1
Q1132,Who created the Bahamas Coat of Arms,1
Q1135,who played tracy's dad in hairspray,1
Q1146,who owns disney,1
Q1148,what part of biodiesel comes from sunflowers,1
Q1151,What are the challenges that foreign firms face in majority Muslim country?,0
Q1152,who fought for the falcons island,1
Q1154,where do crocodiles live,1
Q1157,what relates to erosion,1
Q1159,where in oregon is albany,1
Q1163,what year did isaac newton die,1
Q1175,what people lobbied for prohibition,1
Q1184,where fourth of july came from,0
Q1191,what are layers of the ionosphere,1
Q1196,what is a newsgroup message,1
Q1197,what are the functions of glutamine?,1
Q1203,when did silicone boobs happen,0
Q1206,what are some legal uses of meth,0
Q1211,Where does the word baptism come from,1
Q1213,what order is the moth,0
Q1216,what is african in americas,0
Q1226,what part of the earth's structure is believed to consist of tectonic plates,1
Q1228,who said the dose makes the poison,1
Q1230,what is a letterbox movie,1
Q1233,what is a popular people meter,0
