sentence,complete_sentence
HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,1
how large were early jails,1
how a water pump works,1
how old was sue lyon when she made lolita,1
how are antibodies used in,0
how old is alicia in 2009,1
how are fire bricks made,1
HOW MUCH IS CENTAVOS IN MEXICO,1
How long was Mickie James with WWE?,1
how can something taste good to one person,1
How did Bob Marley die?,1
how much was the production of willy wonka and the chocolate factory,0
how much is a ream of paper,1
how can i open a usda slaughterhouse,0
how close or far do you want to be to the standard deviation,0
how deadly are brain tumors,1
how tall is an indoor girls volleyball net,1
what bacteria grow on macconkey agar,1
what happened to sean parker founder of napster,1
what ingredients are in rockstar recovery?,1
how hard is it to weld a 2 inch schedule 80 pipe,1
how is whooping cough distinguished from similar diseases,1
How Do You Play Spades,1
what causes heart disease,1
how is cia headquarters protected,1
How did Galahad prepare himself to become a knight?,1
how far is a league,0
what can sql 2005 do,1
what does a fawn eat?,1
What band will at&t 4g network be on?,1
how long can run flats run before changing,1
how many acres is cooperstown dream park,1
how has the american dream changed over the years,1
what do presidents make after they leave the white house,1
how tall Russian President Dmitry Medvedev,0
How does Chronic Kidney Disease stage 4 effect Diabetics,1
what experiments are being performed on the iss,1
how does a dim sum restaurant work,1
what color is hazel,1
what does pride and prejudice end with?,1
how many digits long is visa,0
what kind of checks (payment) are acceptable at schools?,1
how many times did Serena Williams play the French Open,1
what causes the shapes in giant's causeway,1
what did tycho brahe do,1
how long did it take to make the blair witch project,1
how did romeo and juliet die,1
what does s.h.i.e.l.d stand for,1
what kind of feet do herons have?,1
what day is st. patricks day,1
how is the house of representatives close to the people?,1
how many books are included in the protestant Bible?,1
"What can cause a ""shift to the left""",0
how does a heat pump work,1
how many seasons were there of the wire,1
how many humps on a camel,1
what can be powered by wind,1
How Rich Is Donald Trump,1
what county is jacksonville florida in,1
what does a liquid oxygen plant look like,1
How many have accomplished climbing mt Everest?,1
how do i get from charleston wv to handley wv,1
how does new orleans celebrate st. patrick's day,1
how many people died in the gallipoli battle,1
what age do vietnam fish start to fight,0
What does Human sperm consist of?,1
